List,Accession,Symbol,Protein Name,Proteomics,No. of peptides,MaxScore,Vasomotricity,BBB-Specific Proteins,Tight Junction and/or Adhesion Proteins,Membrane Transporter and Channel Proteins,ECM and Basal Lamina Proteins,Chun et al.,,
List 1,Q9WTM5,RUVBL2,RuvB-like 2,Both,2,42,,,,,,,,
List 1,O88627,SLC28A2,Sodium/nucleoside cotransporter 2,Both,2,42,,,,,,,,
List 1,Q8R2Y9,OBFC2B,SOSS complex subunit B1,Both,2,42,,,,,,,,
List 1,Q6PDS3,SARM1,Sterile alpha and TIR motif-containing protein 1,Both,2,42,,,,,,,,
List 1,Q8CGV9,TSHZ3,Teashirt homolog 3,Both,2,42,,,,,,,,
List 1,Q61602,GLI3,Transcriptional activator GLI3,Both,2,42,,,,,,,,
List 1,Q91XI1,DUS3L,tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like,Both,2,42,,,,,,,,
List 1,Q9CWU6,UQCC,Ubiquinol-cytochrome c reductase complex chaperone CBP3 homolog,Both,2,42,,,,,,,,
List 1,B1AY13,USP24,Ubiquitin carboxyl-terminal hydrolase 24,Both,2,42,,,,,,,,
List 1,O08759,UBE3A,Ubiquitin-protein ligase E3A,Both,2,42,,,,,,,,
List 1,Q8VCH8,UBXN4,UBX domain-containing protein 4,Both,2,42,,,,,,,,
List 1,P56695,WFS1,Wolframin,Both,2,42,,,,,,,,
List 1,Q9DD24,WBP5,WW domain-binding protein 5,Both,2,42,,,,,,,,
List 1,Q8BYK6,YTHDF3,YTH domain family protein 3,Both,2,42,,,,,,,,
List 1,P33434,MMP2,72 kDa type IV collagenase,Both,2,41,,,,,,,,
List 1,O08715,AKAP1,"A-kinase anchor protein 1, mitochondrial",Both,2,41,,,,,,,,
List 1,P16283,SLC4A3,Anion exchange protein 3,Both,2,41,,,,,,,,
List 1,Q75NR7,RECQL4,ATP-dependent DNA helicase Q4,Both,2,41,,,,,,,,
List 1,A2AQH4,BCORL1,BCL-6 corepressor-like protein 1,Both,2,41,,,,,,,,
List 1,Q5RJH3,CDH12,Cadherin-12,Both,2,41,,,,,,,,
List 1,Q9QXX4,SLC25A13,Calcium-binding mitochondrial carrier protein Aralar2,Both,2,41,,,,,,,,
List 1,Q14B71,CDCA2,Cell division cycle-associated protein 2,Both,2,41,,,,,,,,
List 1,Q9QZR9,COL4A4,Collagen alpha-4(IV) chain,Both,3,41,,,,,,,,
List 1,Q64446,ATP7B,Copper-transporting ATPase 2,Both,3,41,,,,,,,,
List 1,Q7TS74,CKAP2L,Cytoskeleton-associated protein 2-like,Both,2,41,,,,,,,,
List 1,Q9EPS3,GLCE,D-glucuronyl C5-epimerase,Both,2,41,,,,,,,,
List 1,P43352,RAD52,DNA repair protein RAD52 homolog,Both,2,41,,,,,,,,
List 1,Q8C0I4,EPC2,Enhancer of polycomb homolog 2,Both,2,41,,,,,,,,
List 1,Q9WVL6,EXTL3,Exostosin-like 3,Both,2,41,,,,,,,,
List 1,Q60584,FBXW2,F-box/WD repeat-containing protein 2,Both,2,41,,,,,,,,
List 1,Q9Z1W4,GDF11,Growth/differentiation factor 11,Both,2,41,,,,,,,,
List 1,Q9JHD1,KAT2B,Histone acetyltransferase KAT2B,Both,2,41,,,,,,,,
List 1,Q5S006,LRRK2,Leucine-rich repeat serine/threonine-protein kinase 2,Both,2,41,,,,,,,,
List 1,Q9D920,LOH12CR1,Loss of heterozygosity 12 chromosomal region 1 protein homolog,Both,2,41,,,,,,,,
List 1,Q8BGN5,NIPAL3,NIPA-like protein 3,Both,2,41,,,,,,,,
List 1,P10923,SPP1,Osteopontin,Both,2,41,,,,,,,,
List 1,Q8R007,PVRL4,Poliovirus receptor-related protein 4,Both,2,41,,,,,,,,
List 1,P22907,HMBS,Porphobilinogen deaminase,Both,3,41,,,,,,,,
List 1,O88704,HCN1,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,Both,2,41,,,,,,,,
List 1,Q66JQ7,CASC5,Protein CASC5,Both,2,41,,,,,,,,
List 1,Q9JJ28,FLII,Protein flightless-1 homolog,Both,2,41,,,,,,,,
List 1,Q60695,RGL1,Ral guanine nucleotide dissociation stimulator-like 1,Both,2,41,,,,,,,,
List 1,Q6DFV3,ARHGAP21,Rho GTPase-activating protein 21,Both,2,41,,,,,,,,
List 1,Q99MV7,RNF17,RING finger protein 17,Both,2,41,,,,,,,,
List 1,Q80WS3,FBLL1,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1,Both,2,41,,,,,,,,
List 1,Q920G3,SIGLEC5,Sialic acid-binding Ig-like lectin 5,Both,2,41,,,,,,,,
List 1,Q504N2,SLC22A15,Solute carrier family 22 member 15,Both,2,41,,,,,,,,
List 1,Q99J94,SLCO1A6,Solute carrier organic anion transporter family member 1A6,Both,2,41,,,,,,,,
List 1,Q3TMX7,QSOX2,Sulfhydryl oxidase 2,Both,2,41,,,,,,,,
List 1,Q920N7,SYT12,Synaptotagmin-12,Both,2,41,,,,,,,,
List 1,Q9Z1A9,TBC1D8,TBC1 domain family member 8,Both,2,41,,,,,,,,
List 1,Q9JLT4,TXNRD2,"Thioredoxin reductase 2, mitochondrial",Both,2,41,,,,,,,,
List 1,Q99MD6,TXNRD3,Thioredoxin reductase 3,Both,2,41,,,,,,,,
List 1,Q62381,TLL1,Tolloid-like protein 1,Both,2,41,,,,,,,,
List 1,Q9EPK8,TRPV4,Transient receptor potential cation channel subfamily V member 4,Both,2,41,,,,,,,,
List 1,Q01815,CACNA1C,Voltage-dependent L-type calcium channel subunit alpha-1C,Both,2,41,Yes,,,,,,,
List 1,Q6PD29,ZNF513,Zinc finger protein 513,Both,2,41,,,,,,,,
List 1,Q920A7,AFG3L1,AFG3-like protein 1,Both,2,40,,,,,,,,
List 1,Q8R4G6,MGAT5,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A",Both,2,40,,,,,,,,
List 1,Q8VC30,DAK,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing),Both,2,40,,,,,,,,
List 1,O35607,BMPR2,Bone morphogenetic protein receptor type-2,Both,2,40,,,,,,,,
List 1,Q8C8N3,VWC2,Brorin,Both,2,40,,,,,,,,
List 1,Q922M3,KCTD10,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3,Both,2,40,,,,,,,,
List 1,Q8R1Q8,DYNC1LI1,Cytoplasmic dynein 1 light intermediate chain 1,Both,2,40,,,,,,,,
List 1,Q3UNH4,GPRIN1,G protein-regulated inducer of neurite outgrowth 1,Both,2,40,,,,,,,,
List 1,Q8VDG6,MLK4,Mitogen-activated protein kinase kinase kinase MLK4,Both,2,40,,,,,,,,
List 1,Q80YT7,PDE4DIP,Myomegalin,Both,2,40,,,,,,,,
List 1,Q8K224,NAT10,N-acetyltransferase 10,Both,3,40,,,,,,,,
List 1,O35892,SP100,Nuclear autoantigen Sp-100,Both,2,40,,,,,,,,
List 1,P11103,PARP1,Poly [ADP-ribose] polymerase 1,Both,2,40,,,,,,,,
List 1,Q7TN88,PKD1L2,Polycystic kidney disease protein 1-like 2,Both,2,40,,,,,,,,
List 1,Q6PAV2,HERC4,Probable E3 ubiquitin-protein ligase HERC4,Both,2,40,,,,,,,,
List 1,Q923Z3,MTO1,"Protein MTO1 homolog, mitochondrial",Both,2,40,,,,,,,,
List 1,P70323,TBX1,T-box transcription factor TBX1,Both,2,40,,,,,,,,
List 1,Q8BRH0,TMTC3,Transmembrane and TPR repeat-containing protein 3,Both,2,40,,,,,,,,
List 1,Q60769,TNFAIP3,Tumor necrosis factor alpha-induced protein 3,Both,2,40,,,,,,,,
List 1,Q69ZB8,ZCCHC2,Zinc finger CCHC domain-containing protein 2,Both,2,40,,,,,,,,
List 1,Q91VC7,PPP1R14A,Protein phosphatase 1 regulatory subunit 14A,Gel-free only,1,117,Yes,,,,,,,
List 1,P17183,ENO2,Gamma-enolase,Gel-free only,1,113,,,,,,,,
List 1,Q7M6Y3,PICALM,Phosphatidylinositol-binding clathrin assembly protein,Gel-free only,1,103,,,,,,,,
List 1,Q8BSL7,ARF2,ADP-ribosylation factor 2,Gel-free only,1,90,,,,,,,,
List 1,Q80Z10,ASTN2,Astrotactin-2,Gel-free only,1,64,,,,,,,,
List 1,O35464,SEMA6A,Semaphorin-6A,Gel-free only,1,64,,,,,,,,
List 1,Q07235,SERPINE2,Glia-derived nexin,Gel-free only,1,63,,,,,,,,
List 1,P13504,IL1R1,Interleukin-1 receptor type 1,Gel-free only,1,63,,,,,,,,
List 1,P70447,NEUROG2,Neurogenin-2,Gel-free only,1,63,,,,,,,,
List 1,Q7TNK1,RFX4,Transcription factor RFX4,Gel-free only,1,63,,,,,,,,
List 1,Q6AW69,CGNL1,Cingulin-like protein 1,Gel-free only,1,62,,,,,,,,
List 1,Q9D5V5,CUL5,Cullin-5,Gel-free only,1,61,,,,,,,,
List 1,Q921G6,LRCH4,Leucine-rich repeat and calponin homology domain-containing protein 4,Gel-free only,1,61,,,,,,,,
List 1,P52875,TMEM165,Transmembrane protein 165,Gel-free only,1,61,,,,,,,,
List 1,P62500,TSC22D1,TSC22 domain family protein 1,Gel-free only,1,61,,,,,,,,
List 1,P22935,CRABP2,Cellular retinoic acid-binding protein 2,Gel-free only,1,59,,,,,,,,
List 1,Q8CDB0,MKNK2,MAP kinase-interacting serine/threonine-protein kinase 2,Gel-free only,1,59,,,,,,,,
List 1,Q8R0A7,KIAA0513,Uncharacterized protein KIAA0513,Gel-free only,1,59,,,,,,,,
List 1,P35279,RAB6A,Ras-related protein Rab-6A,Gel-free only,1,58,,,,,,,,
List 1,Q9CQY2,FAM103A1,RNMT-activating mini protein,Gel-free only,1,58,,,,,,,,
List 1,P43025,CLEC3B,Tetranectin,Gel-free only,1,58,,,,,,,,
List 1,Q99L45,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,Gel-free only,1,57,,,,,,,,
List 1,Q9WVD5,SLC25A15,Mitochondrial ornithine transporter 1,Gel-free only,1,57,,,,,,,,
List 1,P36993,PPM1B,Protein phosphatase 1B,Gel-free only,1,57,,,,,,,,
List 1,Q3UH06,RREB1,Ras-responsive element-binding protein 1,Gel-free only,1,57,,,,,,,,
List 1,P62900,RPL31,60S ribosomal protein L31,Gel-free only,1,56,,,,,,,,
List 1,P00158,MT-CYB,Cytochrome b,Gel-free only,1,56,,,,,,,,
List 1,Q9JJI6,PIGO,GPI ethanolamine phosphate transferase 3,Gel-free only,1,56,,,,,,,,
List 1,Q61221,HIF1A,Hypoxia-inducible factor 1-alpha,Gel-free only,1,56,,,,,,,,
List 1,P34960,MMP12,Macrophage metalloelastase,Gel-free only,1,56,,,,,,,,
List 1,Q8R1Q9,RBKS,Ribokinase,Gel-free only,1,56,,,,,,,,
List 1,Q8K387,USP45,Ubiquitin carboxyl-terminal hydrolase 45,Gel-free only,1,56,,,,,,,,
List 1,Q91X21,KIAA2013,Uncharacterized protein KIAA2013,Gel-free only,1,56,,,,,,,,
List 1,Q9ERR7,Sep15,15 kDa selenoprotein,Gel-free only,1,55,,,,,,,,
List 1,Q9CYC5,DSN1,Kinetochore-associated protein DSN1 homolog,Gel-free only,1,55,,,,,,,,
List 1,Q9CWR7,STEAP1,Metalloreductase STEAP1,Gel-free only,1,55,,,,,,,,
List 1,Q9D868,PPIH,Peptidyl-prolyl cis-trans isomerase H,Gel-free only,1,55,,,,,,,,
List 1,Q8CCJ9,PHF20L1,PHD finger protein 20-like protein 1,Gel-free only,1,55,,,,,,,,
List 1,Q9QZI8,SERINC1,Serine incorporator 1,Gel-free only,1,55,,,,,,,,
List 1,Q3U276,SDHAF1,"Succinate dehydrogenase assembly factor 1, mitochondrial",Gel-free only,1,55,,,,,,,,
List 1,Q497H0,ZFAND3,AN1-type zinc finger protein 3,Gel-free only,1,54,,,,,,,,
List 1,P59672,ANKS1A,Ankyrin repeat and SAM domain-containing protein 1A,Gel-free only,1,54,,,,,,,,
List 1,A2AU72,ARMC3,Armadillo repeat-containing protein 3,Gel-free only,1,54,,,,,,,,
List 1,P0C1T1,HOXB2,Homeobox protein Hox-B2,Gel-free only,1,54,,,,,,,,
List 1,Q6PFC5,LRIT2,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2",Gel-free only,1,54,,,,,,,,
List 1,Q9D662,SEC23B,Protein transport protein Sec23B,Gel-free only,1,54,,,,,,,,
List 1,Q8VIG1,REST,RE1-silencing transcription factor,Gel-free only,1,54,,,,,,,,
List 1,Q3TSG4,ALKBH5,RNA demethylase ALKBH5,Gel-free only,1,54,,,,,,,,
List 1,Q6A4L0,SLC22A13,Solute carrier family 22 member 13,Gel-free only,1,54,,,,,,,,
List 1,Q9JKT4,TAS2R105,Taste receptor type 2 member 105,Gel-free only,1,54,,,,,,,,
List 1,P31786,DBI,Acyl-CoA-binding protein,Gel-free only,1,53,,,,,,,,
List 1,Q0QWG9,GRID2IP,Delphilin,Gel-free only,1,53,,,,,,,,
List 1,Q99JF5,MVD,Diphosphomevalonate decarboxylase,Gel-free only,1,53,,,,,,,,
List 1,Q3UYR4,ESPNL,Espin-like protein,Gel-free only,1,53,,,,,,,,
List 1,Q9QXW4,FSCN3,Fascin-3,Gel-free only,1,53,,,,,,,,
List 1,Q9WUS4,GJA10,Gap junction alpha-10 protein,Gel-free only,1,53,,,,,,,,
List 1,Q6PCM2,INTS6,Integrator complex subunit 6,Gel-free only,1,53,,,,,,,,
List 1,Q3TJ91,LLGL2,Lethal(2) giant larvae protein homolog 2,Gel-free only,1,53,,,,,,,,
List 1,P18165,LOR,Loricrin,Gel-free only,1,53,,,,,,,,
List 1,Q9QZ04,MAGEL2,MAGE-like protein 2,Gel-free only,1,53,,,,,,,,
List 1,P28660,NCKAP1,Nck-associated protein 1,Gel-free only,1,53,,,,,,,,
List 1,Q3UN04,USP30,Ubiquitin carboxyl-terminal hydrolase 30,Gel-free only,1,53,,,,,,,,
List 1,Q9Z0G7,ZBTB22,Zinc finger and BTB domain-containing protein 22,Gel-free only,1,53,,,,,,,,
List 1,P37172,ACVR1,Activin receptor type-1,Gel-free only,1,52,,,,,,,,
List 1,Q9R0L7,AKAP8L,A-kinase anchor protein 8-like,Gel-free only,1,52,,,,,,,,
List 1,P51642,CNTF,Ciliary neurotrophic factor,Gel-free only,1,52,,,,,,,,
List 1,P08775,POLR2A,DNA-directed RNA polymerase II subunit RPB1,Gel-free only,1,52,,,,,,,,
List 1,Q01279,EGFR,Epidermal growth factor receptor,Gel-free only,1,52,,,,,,,,
List 1,Q8BY35,FGD2,"FYVE, RhoGEF and PH domain-containing protein 2",Gel-free only,1,52,,,,,,,,
List 1,Q6VH22,IFT172,Intraflagellar transport protein 172 homolog,Gel-free only,1,52,,,,,,,,
List 1,Q8BUI3,LRWD1,Leucine-rich repeat and WD repeat-containing protein 1,Gel-free only,1,52,,,,,,,,
List 1,Q8VCD3,LMAN1L,Protein ERGIC-53-like,Gel-free only,1,52,,,,,,,,
List 1,Q921W8,SECTM1A,Secreted and transmembrane protein 1A,Gel-free only,1,52,,,,,,,,
List 1,Q9Z179,SHCBP1,SHC SH2 domain-binding protein 1,Gel-free only,1,52,,,,,,,,
List 1,Q99JY1,TIRAP,Toll/interleukin-1 receptor domain-containing adapter protein,Gel-free only,1,52,,,,,,,,
List 1,P25918,CD19,B-lymphocyte antigen CD19,Gel-free only,1,51,,,,,,,,
List 1,P21274,BMP2,Bone morphogenetic protein 2,Gel-free only,1,51,,,,,,,,
List 1,Q61072,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,Gel-free only,1,51,,,,,,,,
List 1,Q91WJ8,FUBP1,Far upstream element-binding protein 1,Gel-free only,1,51,,,,,,,,
List 1,Q3UMG5,LRCH2,Leucine-rich repeat and calponin homology domain-containing protein 2,Gel-free only,1,51,,,,,,,,
List 1,Q5NCE8,MRS2,"Magnesium transporter MRS2 homolog, mitochondrial",Gel-free only,1,51,,,,,,,,
List 1,Q9CQI9,MED30,Mediator of RNA polymerase II transcription subunit 30,Gel-free only,1,51,,,,,,,,
List 1,Q02566,MYH6,Myosin-6,Gel-free only,1,51,,,,,,,,
List 1,Q1EG27,MYO3B,Myosin-IIIb,Gel-free only,1,51,,,,,,,,
List 1,Q9DCS9,NDUFB10,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,Gel-free only,1,51,,,,,,,,
List 1,Q69ZK9,NLGN2,Neuroligin-2,Gel-free only,1,51,,,,,,,,
List 1,Q8C7K6,PCYOX1L,Prenylcysteine oxidase-like,Gel-free only,1,51,,,,,,,,
List 1,P97473,TARBP2,RISC-loading complex subunit TARBP2,Gel-free only,1,51,,,,,,,,
List 1,P63087,PPP1CC,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,Gel-free only,1,51,Yes,,,,,,,
List 1,Q6PHS6,SNX13,Sorting nexin-13,Gel-free only,1,51,,,,,,,,
List 1,Q61003,CD6,T-cell differentiation antigen CD6,Gel-free only,1,51,,,,,,,,
List 1,Q9D1J1,NECAP2,Adaptin ear-binding coat-associated protein 2,Gel-free only,1,50,,,,,,,,
List 1,Q6P1H6,ANKLE2,Ankyrin repeat and LEM domain-containing protein 2,Gel-free only,1,50,,,,,,,,
List 1,Q8BPZ8,FAM175A,BRCA1-A complex subunit Abraxas,Gel-free only,1,50,,,,,,,,
List 1,Q99N20,BRMS1,Breast cancer metastasis-suppressor 1 homolog,Gel-free only,1,50,,,,,,,,
List 1,Q3TNW5,DPCR1,Diffuse panbronchiolitis critical region protein 1 homolog,Gel-free only,1,50,,,,,,,,
List 1,Q8VC03,EML3,Echinoderm microtubule-associated protein-like 3,Gel-free only,1,50,,,,,,,,
List 1,Q99MT7,GPR87,G-protein coupled receptor 87,Gel-free only,1,50,,,,,,,,
List 1,P32043,HOXC5,Homeobox protein Hox-C5,Gel-free only,1,50,,,,,,,,
List 1,Q8VCK5,KLHL20,Kelch-like protein 20,Gel-free only,1,50,,,,,,,,
List 1,Q8BGX3,LRTM2,Leucine-rich repeat and transmembrane domain-containing protein 2,Gel-free only,1,50,,,,,,,,
List 1,P63006,LHX1,LIM/homeobox protein Lhx1,Gel-free only,1,50,,,,,,,,
List 1,Q61532,MAPK6,Mitogen-activated protein kinase 6,Gel-free only,1,50,,,,,,,,
List 1,P97471,SMAD4,Mothers against decapentaplegic homolog 4,Gel-free only,1,50,,,,,,,,
List 1,Q9EPL9,ACOX3,Peroxisomal acyl-coenzyme A oxidase 3,Gel-free only,1,50,,,,,,,,
List 1,Q8VDG3,PARN,Poly(A)-specific ribonuclease PARN,Gel-free only,1,50,,,,,,,,
List 1,Q62083,PICK1,PRKCA-binding protein,Gel-free only,1,50,,,,,,,,
List 1,Q9CV28,CARP,Protein FAM188A,Gel-free only,1,50,,,,,,,,
List 1,Q8R100,FAM26E,Protein FAM26E,Gel-free only,1,50,,,,,,,,
List 1,Q3UHI4,TMED8,Protein TMED8,Gel-free only,1,50,,,,,,,,
List 1,P13405,RB1,Retinoblastoma-associated protein,Gel-free only,2,50,,,,,,,,
List 1,Q8BVR6,RSPRY1,RING finger and SPRY domain-containing protein 1,Gel-free only,1,50,,,,,,,,
List 1,Q8CG80,SHF,SH2 domain-containing adapter protein F,Gel-free only,1,50,,,,,,,,
List 1,Q8K2M0,MRPL38,"39S ribosomal protein L38, mitochondrial",Gel-free only,1,49,,,,,,,,
List 1,Q9QZB7,ACTR10,Actin-related protein 10,Gel-free only,1,49,,,,,,,,
List 1,Q8BXC6,COMMD2,COMM domain-containing protein 2,Gel-free only,1,49,,,,,,,,
List 1,P11714,CYP2D9,Cytochrome P450 2D9,Gel-free only,1,49,,,,,,,,
List 1,O54714,PIAS3,E3 SUMO-protein ligase PIAS3,Gel-free only,1,49,,,,,,,,
List 1,Q91WG4,ELP2,Elongator complex protein 2,Gel-free only,1,49,,,,,,,,
List 1,Q9EST3,EIF4ENIF1,Eukaryotic translation initiation factor 4E transporter,Gel-free only,1,49,,,,,,,,
List 1,Q9JK38,GNPNAT1,Glucosamine 6-phosphate N-acetyltransferase,Gel-free only,1,49,,,,,,,,
List 1,Q8BKV1,GPC2,Glypican-2,Gel-free only,1,49,,,,,,,,
List 1,Q8BZA7,GPR26,G-protein coupled receptor 26,Gel-free only,1,49,,,,,,,,
List 1,P13297,MSX1,Homeobox protein MSX-1,Gel-free only,1,49,,,,,,,,
List 1,Q9CXX0,HYLS1,Hydrolethalus syndrome protein 1 homolog,Gel-free only,1,49,,,,,,,,
List 1,Q7TMY7,IPO8,Importin-8,Gel-free only,1,49,,,,,,,,
List 1,Q61759,KLK1B21,Kallikrein 1-related peptidase b21,Gel-free only,1,49,,,,,,,,
List 1,Q8BZM0,KLHL12,Kelch-like protein 12,Gel-free only,1,49,,,,,,,,
List 1,Q9JJC8,NIPA2,Magnesium transporter NIPA2,Gel-free only,1,49,,,,,,,,
List 1,P05977,MYL1,"Myosin light chain 1/3, skeletal muscle isoform",Gel-free only,1,49,,,,,,,,
List 1,Q8BZH4,POGZ,Pogo transposable element with ZNF domain,Gel-free only,1,49,,,,,,,,
List 1,Q8BMG7,RAB3GAP2,Rab3 GTPase-activating protein non-catalytic subunit,Gel-free only,1,49,,,,,,,,
List 1,Q8R4H2,ARHGEF12,Rho guanine nucleotide exchange factor 12,Gel-free only,1,49,,,,,,,,
List 1,Q8VCK7,SYCN,Syncollin,Gel-free only,1,49,,,,,,,,
List 1,Q8CB77,TCEB3,Transcription elongation factor B polypeptide 3,Gel-free only,1,49,,,,,,,,
List 1,Q8CGW4,SOX30,Transcription factor SOX-30,Gel-free only,1,49,,,,,,,,
List 1,Q4VBE8,WDR18,WD repeat-containing protein 18,Gel-free only,1,49,,,,,,,,
List 1,Q62521,ZIC3,Zinc finger protein ZIC 3,Gel-free only,1,49,,,,,,,,
List 1,Q01337,ADRA2C,Alpha-2C adrenergic receptor,Gel-free only,1,48,Yes,,,,,,,
List 1,Q6ZPS2,ATPGD1,Carnosine synthase 1,Gel-free only,1,48,,,,,,,,
List 1,Q8R349,CDC16,Cell division cycle protein 16 homolog,Gel-free only,1,48,,,,,,,,
List 1,Q3V125,CCDC110,Coiled-coil domain-containing protein 110,Gel-free only,1,48,,,,,,,,
List 1,Q921L5,COG2,Conserved oligomeric Golgi complex subunit 2,Gel-free only,1,48,,,,,,,,
List 1,Q08024,CBFB,Core-binding factor subunit beta,Gel-free only,1,48,,,,,,,,
List 1,P00375,DHFR,Dihydrofolate reductase,Gel-free only,1,48,,,,,,,,
List 1,Q6GQV7,EDRF1,Erythroid differentiation-related factor 1,Gel-free only,1,48,,,,,,,,
List 1,P48774,GSTM5,Glutathione S-transferase Mu 5,Gel-free only,1,48,,,,,,,,
List 1,Q9DCZ1,GMPR,GMP reductase 1,Gel-free only,1,48,,,,,,,,
List 1,Q8K025,FRAT2,GSK-3-binding protein FRAT2,Gel-free only,1,48,,,,,,,,
List 1,Q9D6Z6,IL1F8,Interleukin-36 beta,Gel-free only,1,48,,,,,,,,
List 1,O08584,KLF6,Krueppel-like factor 6,Gel-free only,1,48,,,,,,,,
List 1,Q9WVL0,GSTZ1,Maleylacetoacetate isomerase,Gel-free only,1,48,,,,,,,,
List 1,O35684,SERPINI1,Neuroserpin,Gel-free only,1,48,,,,,,,,
List 1,Q810P2,ODF3L1,Outer dense fiber protein 3-like protein 1,Gel-free only,1,48,,,,,,,,
List 1,Q9EPX2,PAPLN,Papilin,Gel-free only,1,48,,,,,,,,
List 1,Q4VBE4,EGFLAM,Pikachurin,Gel-free only,1,48,,,,,,,,
List 1,Q6P6P7,PARP6,Poly [ADP-ribose] polymerase 6,Gel-free only,1,48,,,,,,,,
List 1,O70552,BTG4,Protein BTG4,Gel-free only,1,48,,,,,,,,
List 1,O88634,F2RL3,Proteinase-activated receptor 4,Gel-free only,1,48,,,,,,,,
List 1,Q6PHN9,RAB35,Ras-related protein Rab-35,Gel-free only,1,48,,,,,,,,
List 1,Q91ZZ5,RXFP2,Relaxin receptor 2,Gel-free only,1,48,,,,,,,,
List 1,Q8CD92,TTC27,Tetratricopeptide repeat protein 27,Gel-free only,1,48,,,,,,,,
List 1,Q6R5P0,TLR11,Toll-like receptor 11,Gel-free only,1,48,,,,,,,,
List 1,Q62313,TGOLN1,Trans-Golgi network integral membrane protein 1,Gel-free only,1,48,,,,,,,,
List 1,Q9DB94,WDR53,WD repeat-containing protein 53,Gel-free only,1,48,,,,,,,,
List 1,Q9R0Y1,ACCN5,Acid-sensing ion channel 5,Gel-free only,1,47,,,,,,,,
List 1,O88444,ADCY1,Adenylate cyclase type 1,Gel-free only,1,47,,,,,,,,
List 1,Q640N2,ARL13B,ADP-ribosylation factor-like protein 13B,Gel-free only,1,47,,,,,,,,
List 1,Q8C0J6,ANKRD57,Ankyrin repeat domain-containing protein SOWAHC,Gel-free only,1,47,,,,,,,,
List 1,O70126,AURKB,Aurora kinase B,Gel-free only,1,47,,,,,,,,
List 1,P59017,BCL2L13,Bcl-2-like protein 13,Gel-free only,1,47,,,,,,,,
List 1,Q60967,PAPSS1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,Gel-free only,1,47,,,,,,,,
List 1,Q9D439,CCDC11,Coiled-coil domain-containing protein 11,Gel-free only,1,47,,,,,,,,
List 1,Q9WVL7,CXCL15,C-X-C motif chemokine 15,Gel-free only,1,47,,,,,,,,
List 1,Q9QZD4,ERCC4,DNA repair endonuclease XPF,Gel-free only,1,47,,,,,,,,
List 1,A3KGK3,FER1L4,Fer-1-like protein 4,Gel-free only,1,47,,,,,,,,
List 1,Q8CI11,GNL3,Guanine nucleotide-binding protein-like 3,Gel-free only,1,47,,,,,,,,
List 1,P52927,HMGA2,High mobility group protein HMGI-C,Gel-free only,1,47,,,,,,,,
List 1,Q91ZY2,HRH4,Histamine H4 receptor,Gel-free only,1,47,,,,,,,,
List 1,P84244,H3F3A,Histone H3.3,Gel-free only,1,47,,,,,,,,
List 1,Q0GNC1,INF2,Inverted formin-2,Gel-free only,1,47,,,,,,,,
List 1,Q8BMJ2,LARS,"Leucine--tRNA ligase, cytoplasmic",Gel-free only,1,47,,,,,,,,
List 1,Q5U4E0,LHFPL4,Lipoma HMGIC fusion partner-like 4 protein,Gel-free only,1,47,,,,,,,,
List 1,Q02395,MTF2,Metal-response element-binding transcription factor 2,Gel-free only,1,47,,,,,,,,
List 1,Q9CQ20,MID1IP1,Mid1-interacting protein 1,Gel-free only,1,47,,,,,,,,
List 1,Q8BWP8,B3GNT1,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase",Gel-free only,1,47,,,,,,,,
List 1,Q3V2Q8,N4BP2L1,NEDD4-binding protein 2-like 1,Gel-free only,1,47,,,,,,,,
List 1,P97333,NRP1,Neuropilin-1,Gel-free only,1,47,,,,,,,,
List 1,P09602,HMGN2,Non-histone chromosomal protein HMG-17,Gel-free only,1,47,,,,,,,,
List 1,Q9JJR9,NRIP3,Nuclear receptor-interacting protein 3,Gel-free only,1,47,,,,,,,,
List 1,Q4KL35,MAGIX,PDZ domain-containing protein MAGIX,Gel-free only,1,47,,,,,,,,
List 1,P35375,PTGER1,Prostaglandin E2 receptor EP1 subtype,Gel-free only,1,47,,,,,,,,
List 1,Q921C5,BICD2,Protein bicaudal D homolog 2,Gel-free only,1,47,,,,,,,,
List 1,Q3TH73,TTYH2,Protein tweety homolog 2,Gel-free only,1,47,,,,,,,,
List 1,Q6DID7,GPR177,Protein wntless homolog,Gel-free only,1,47,,,,,,,,
List 1,P46061,RANGAP1,Ran GTPase-activating protein 1,Gel-free only,1,47,,,,,,,,
List 1,P97855,G3BP1,Ras GTPase-activating protein-binding protein 1,Gel-free only,1,47,,,,,,,,
